document_id,clean_text,sentiment
40,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
41,bought stock jobread,neutral
42,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
43,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
44,read,positive
45,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,positive
46,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
47,wow great price fast ship perfect condit excel computerread,negative
48,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
49,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
50,bought stock jobread,positive
51,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
52,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,negative
53,read,positive
54,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,negative
55,damag product cant even use rather given stress wast time still havent receiv back moneyread,neutral
56,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
57,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
58,wow great price fast ship perfect condit excel computerread,negative
59,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
60,wow great price fast ship perfect condit excel computerread,negative
61,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
62,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
63,wow great price fast ship perfect condit excel computerread,neutral
64,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
65,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
66,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
67,wow great price fast ship perfect condit excel computerread,negative
68,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
69,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
70,bought stock jobread,neutral
71,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
72,wow great price fast ship perfect condit excel computerread,positive
73,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
74,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
75,bought stock jobread,positive
76,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
77,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
78,wow great price fast ship perfect condit excel computerread,positive
79,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
80,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
81,bought stock jobread,positive
82,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
83,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,negative
84,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
85,wow great price fast ship perfect condit excel computerread,negative
86,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
87,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
88,bought stock jobread,negative
89,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,negative
90,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,positive
91,read,negative
92,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
93,wow great price fast ship perfect condit excel computerread,positive
94,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
95,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
96,bought stock jobread,positive
97,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
98,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,positive
99,read,negative
100,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,neutral
101,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
102,wow great price fast ship perfect condit excel computerread,negative
103,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
104,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
105,bought stock jobread,negative
106,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
107,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
108,read,neutral
109,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,neutral
110,damag product cant even use rather given stress wast time still havent receiv back moneyread,neutral
111,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
112,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
113,wow great price fast ship perfect condit excel computerread,neutral
114,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
115,wow great price fast ship perfect condit excel computerread,neutral
116,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
117,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
118,wow great price fast ship perfect condit excel computerread,negative
119,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
120,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
121,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
122,wow great price fast ship perfect condit excel computerread,neutral
123,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
124,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
125,bought stock jobread,neutral
126,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
127,wow great price fast ship perfect condit excel computerread,positive
128,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
129,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
130,bought stock jobread,positive
131,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
132,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
133,wow great price fast ship perfect condit excel computerread,neutral
134,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
135,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
136,bought stock jobread,positive
137,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
138,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,positive
139,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
140,wow great price fast ship perfect condit excel computerread,neutral
141,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
142,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
143,bought stock jobread,neutral
144,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
145,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
146,read,negative
147,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
148,wow great price fast ship perfect condit excel computerread,positive
149,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
150,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
151,bought stock jobread,neutral
152,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
153,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,positive
154,read,positive
155,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,positive
156,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
157,wow great price fast ship perfect condit excel computerread,neutral
158,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
159,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
160,bought stock jobread,negative
161,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
162,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
163,read,negative
164,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,negative
165,damag product cant even use rather given stress wast time still havent receiv back moneyread,negative
166,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
167,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
168,wow great price fast ship perfect condit excel computerread,positive
169,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
170,wow great price fast ship perfect condit excel computerread,negative
171,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
172,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
173,wow great price fast ship perfect condit excel computerread,positive
174,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
175,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
176,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
177,wow great price fast ship perfect condit excel computerread,negative
178,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
179,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
180,bought stock jobread,positive
181,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
182,wow great price fast ship perfect condit excel computerread,positive
183,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
184,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
185,bought stock jobread,negative
186,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,negative
187,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
188,wow great price fast ship perfect condit excel computerread,positive
189,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
190,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
191,bought stock jobread,positive
192,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
193,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
194,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
195,wow great price fast ship perfect condit excel computerread,negative
196,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
197,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
198,bought stock jobread,positive
199,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
200,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,negative
201,read,positive
202,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
203,wow great price fast ship perfect condit excel computerread,neutral
204,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
205,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
206,bought stock jobread,neutral
207,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
208,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,negative
209,read,negative
210,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,positive
211,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
212,wow great price fast ship perfect condit excel computerread,positive
213,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
214,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
215,bought stock jobread,negative
216,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,negative
217,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,positive
218,read,positive
219,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,neutral
220,damag product cant even use rather given stress wast time still havent receiv back moneyread,negative
221,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
222,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
223,wow great price fast ship perfect condit excel computerread,positive
224,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
225,wow great price fast ship perfect condit excel computerread,negative
226,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
227,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
228,wow great price fast ship perfect condit excel computerread,negative
229,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
230,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
231,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
232,wow great price fast ship perfect condit excel computerread,positive
233,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
234,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
235,bought stock jobread,negative
236,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
237,wow great price fast ship perfect condit excel computerread,negative
238,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
239,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
240,bought stock jobread,neutral
241,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
242,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
243,wow great price fast ship perfect condit excel computerread,negative
244,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
245,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
246,bought stock jobread,positive
247,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
248,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
249,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
250,wow great price fast ship perfect condit excel computerread,neutral
251,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
252,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
253,bought stock jobread,positive
254,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,neutral
255,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,positive
256,read,negative
257,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
258,wow great price fast ship perfect condit excel computerread,negative
259,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
260,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
261,bought stock jobread,positive
262,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
263,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,positive
264,read,positive
265,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,negative
266,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
267,wow great price fast ship perfect condit excel computerread,neutral
268,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
269,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
270,bought stock jobread,negative
271,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,negative
272,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
273,read,negative
274,receiv laptop today fast fan hp laptop easi set sturdi great product good buy setback touchscreenread,negative
275,damag product cant even use rather given stress wast time still havent receiv back moneyread,positive
276,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
277,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
278,wow great price fast ship perfect condit excel computerread,negative
279,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
280,wow great price fast ship perfect condit excel computerread,positive
281,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
282,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
283,wow great price fast ship perfect condit excel computerread,negative
284,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
285,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
286,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,neutral
287,wow great price fast ship perfect condit excel computerread,neutral
288,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
289,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
290,bought stock jobread,neutral
291,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
292,wow great price fast ship perfect condit excel computerread,negative
293,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
294,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
295,bought stock jobread,neutral
